est_diameter_min,relative_velocity,miss_distance,absolute_magnitude
0.0384197891,57279.7519314714,34517247.78209616,24.2
0.0062886146,9892.8419973384,19328547.856757447,28.13
0.6895328745,94392.0732643092,57591879.26747568,17.93
0.1010543415,25731.8169984499,28575058.7751172,22.1
0.0116025908,23695.7856717338,3655641.31915511,26.8
0.0048367649,74062.401853279,73960941.70717148,28.7
0.0799015081,25924.8208774813,20546366.20709197,22.61
0.4212646106,11262.7234269315,73451787.95962943,19.0
0.3346223745,38606.5416606674,28791071.93596496,19.5
0.4411182,86867.0889596024,47498405.03336416,18.9
0.0105816886,67263.1418761276,70995879.77518924,27.0
0.0242412481,23040.9824506077,64751668.88508938,25.2
0.0073207399,76143.3179988838,330109.780800612,27.8
0.0802703167,109730.7407411957,55864899.255871765,22.6
0.0069912523,36645.7235279108,607036.696027939,27.9
0.0880146521,59350.4248741542,73588324.8285542,22.4
0.022108281,45605.8828012259,31169241.33294328,25.4
0.0092162655,44789.9514915283,45899145.37013613,27.3
0.5303407233,66978.5958717307,66889917.10770632,18.5
0.1529519353,53527.7064001658,36751902.75133739,21.2
0.2063264836,8168.6069372673,74188679.87035668,20.55
0.0030517923,34799.8752577891,44734957.39244321,29.7
0.1838886721,115028.8951957067,67900792.70028713,20.8
0.1108038821,51049.3393475222,74477430.25323944,21.9
0.0201629919,26724.8188103529,12075808.908732176,25.6
0.0900647767,69410.7005866589,66937690.69381785,22.35
0.0342416731,30725.7467306773,25841784.381304413,24.45
0.1677084622,88306.6866444929,39827861.70402895,21.0
0.2210828104,127047.9996725422,57354116.92501648,20.4
0.0105816886,30633.1591337967,11027659.780138323,27.0
4.1740243339,89168.9948416768,65437107.82017286,14.02
0.9474471126,51837.7872061224,42962207.11964409,17.24
0.0066765941,40452.2364971966,53072497.29128743,28.0
0.0116025908,67853.2681628075,59354070.66829383,26.8
0.0192555078,45345.9464116222,49607481.46189407,25.7
0.0291443905,62754.2685274507,33736389.296732515,24.8
0.0350392641,75058.9333917178,57355871.06476074,24.4
0.1508533561,74945.5008059941,60632366.62041793,21.23
0.0201629919,29931.7058609491,9100178.186430154,25.6
0.008405334,39923.1301309772,2231780.580807266,27.5
0.0127219879,21787.1086899865,962830.426496093,26.6
0.0766575574,31723.7166756296,43136073.01043186,22.7
0.04411182,17946.1584513878,31202418.66983869,23.9
0.0148099972,55085.586926166,63898809.96216026,26.27
0.0350392641,60977.263283212,66073523.75765415,24.4
0.0182202771,46083.1659709651,64481616.12662664,25.82
0.1460679643,51148.3523127282,20295461.39255753,21.3
0.0766575574,48585.9921274804,23095221.44805612,22.7
0.0943093989,47949.5994920287,63585052.44029339,22.25
0.0175612318,34427.6771163058,1649637.149864771,25.9
0.0201629919,56760.04681056,47586718.65489973,25.6
0.0127219879,27505.8161282778,884710.329023371,26.6
0.3051792326,58582.6757165599,55664292.94029873,19.7
0.1010543415,64279.4851023023,36189295.79991117,22.1
0.0167708462,28188.6896195178,36693366.30158935,26.0
0.0232570687,28571.5192271592,2963929.700503168,25.29
0.040230458,29665.257377948,9702055.745594764,24.1
0.0257368254,16879.9136978449,12239623.45327274,25.07
0.0074912618,54557.6317607408,46538966.28977669,27.75
0.3536347843,62654.3871407546,40054367.28548383,19.38
0.0175612318,20430.9729015724,33453919.36154765,25.9
0.0183888672,48117.0196291961,7989516.371502595,25.8
0.0242412481,27398.8064991442,7941608.596101676,25.2
0.0060891262,13507.0733225541,8285801.430625366,28.2
0.0608912622,38625.9565754041,13615764.670179272,23.2
0.3094246986,43899.7097838758,68412232.25840344,19.67
0.0146067964,66194.3097025322,50841201.52725726,26.3
0.0319561887,15144.0922784034,16924841.74433524,24.6
0.1838886721,28717.4072598736,67782478.79670069,20.8
0.008405334,6778.4646451402,8965463.150285825,27.5
0.0921626549,73662.2151825308,37640284.67584396,22.3
0.0092162655,28576.9853018668,12021982.173926411,27.3
0.3195618867,69275.2403238401,49696731.46137735,19.6
0.0088014652,16569.6422543195,1764606.733228225,27.4
0.0116025908,32268.226203481,73440433.91513026,26.8
0.0110803882,40141.1598067796,4390549.607005505,26.9
0.3841978911,91739.5805548469,10112379.709812144,19.2
0.1756123185,15071.094505583,42356374.04319881,20.9
0.0101054342,64180.4950719292,49212072.68955164,27.1
0.0913177026,44711.0197675499,54204869.49709874,22.32
0.02658,32515.4043830952,20649771.86014464,25.0
0.0318093633,80458.4260045274,70807737.61006948,24.61
0.0350392641,10469.7747598868,6348016.71745477,24.4
0.0584191154,69336.8801468226,33115971.28067009,23.29
0.1295850727,66980.7223482359,29720768.977419835,21.56
1.1763998937,103540.5938181798,40479277.8648145,16.77
0.1529519353,39063.4015291794,69201064.9834285,21.2
0.2016299194,34281.5853891918,67916356.74300365,20.6
0.4212646106,63837.4380457993,25365449.130247,19.0
0.0127219879,22236.5578683974,29662766.233032808,26.6
0.0506471459,56701.0308857454,52217107.7558296,23.6
0.0146067964,17148.0201310564,38928650.56923053,26.3
0.0732073989,47739.1117618555,8201653.40665929,22.8
0.0555334912,30760.6172123818,29099254.468809463,23.4
0.0530340723,29932.9207270801,35965641.95777273,23.5
1.8904055193,137205.2897163227,63394062.87419543,15.74
0.0177237239,29064.705903599,1775131.496894844,25.88
0.0133215567,28536.6324382935,27984718.68240017,26.5
0.1226182113,32922.5580429258,63753345.85530304,21.68
0.3210369174,58046.8847458316,41525468.36833559,19.59
0.1756123185,46806.14853234,32687777.59656484,20.9
0.058150704,25991.4251164537,6947842.975666153,23.3
0.0127219879,15838.4581477821,60705562.43472344,26.6
0.2538370294,16663.2306309043,58244911.24981489,20.1
0.0880146521,50764.4974230336,65368465.92958781,22.4
0.040230458,49383.131571005,52874714.62055085,24.1
0.0334622374,63917.2122114359,46523830.03712924,24.5
0.065246163,17975.5124539217,31013368.89444165,23.05
0.2111324448,42204.0276448744,34491936.1216879,20.5
0.021505769,67467.4480220494,26161654.00838608,25.46
0.0319561887,17941.2862025355,19713308.776305825,24.6
0.3361669212,28603.5904146376,14372729.084550774,19.49
0.0880146521,48481.6633662031,4231824.39696213,22.4
0.006259721,34636.9715735913,43931425.4649479,28.14
0.0211132445,46710.6251764536,8367990.096489117,25.5
0.004411182,24150.7445893078,28320970.86198426,28.9
0.5041444339,85154.2613530974,69722297.84642605,18.61
0.0105816886,54400.9229837021,64293225.52432418,27.0
0.063760979,90574.6445961088,60378107.492522776,23.1
0.2016299194,12473.9493003695,45742132.93602596,20.6
0.0802703167,35046.9420994288,57336719.75488036,22.6
0.0211132445,9243.0468511435,12422812.806911465,25.5
0.063760979,40028.2599892126,52776443.27111509,23.1
0.0211132445,32012.3539057982,1875633.156095071,25.5
0.0046190746,36014.0699884975,29542383.495622765,28.8
0.0160160338,32842.006811907,26985221.9077258,26.1
0.058150704,33831.8513829264,24625375.24290529,23.3
0.0492668706,61590.674840638,47118864.76532325,23.66
0.0231502122,24410.1121291561,50343029.50503552,25.3
0.0291443905,22617.842594671,52447427.63417587,24.8
0.1838886721,51279.7173202116,35383889.99453645,20.8
0.1772372393,135558.5862871843,67834302.04203248,20.88
0.0366906138,13666.2979838304,31969476.73673504,24.3
0.2368944994,76654.3846935888,61300605.82463411,20.25
0.0030517923,20907.8678291541,74125291.01921794,29.7
0.0066153828,29901.278615835,40040670.64305896,28.02
0.0167708462,21422.5833690961,1473817.256578413,26.0
0.0667659413,40748.5183984751,16246599.543903422,23.0
0.0530340723,30488.2704936982,10041340.24408418,23.5
0.058150704,52418.1418981038,46385935.55257444,23.3
0.0201629919,39694.3872780017,13742166.029095156,25.6
0.0366906138,25458.9330171238,57957821.47808804,24.3
0.1082816778,13214.5217782509,69756990.65462393,21.95
0.0167708462,23178.8349413014,45375422.510431565,26.0
0.0055533491,15815.9268873904,4083549.391006966,28.4
0.1594244681,66417.5139840292,66781776.20335497,21.11
0.2315021222,15761.4328263077,49539537.65480959,20.3
0.0802703167,40214.8996646677,8019199.670626717,22.6
0.002025606,55976.25002162,66799285.49709465,30.59
0.1394938229,43826.0771332915,60933305.729115546,21.4
0.1214940408,32903.5604746793,28698097.92190483,21.7
0.0069912523,68627.9836135753,66005014.38086233,27.9
0.0088014652,10351.0078953683,2579839.742361532,27.4
0.0732073989,25482.3731826859,45107807.73349643,22.8
0.0139493823,16663.6026996322,19778835.00701217,26.4
0.3841978911,140456.091491941,44083727.89987984,19.2
0.0092162655,36782.2869636827,5197974.908826281,27.3
0.0802703167,45719.3869415269,55087197.180846624,22.6
0.0802703167,42759.7910429497,66561880.87306221,22.6
0.0070559416,27702.2828040622,2311088.081453539,27.88
0.3503926411,68285.526397943,32379932.52659547,19.4
0.0063760979,44007.0483588556,2858982.261882707,28.1
0.0231502122,78431.17440348,47148159.244623445,25.3
0.0110803882,42103.8026285018,43850450.45668389,26.9
0.0192555078,27108.7649873298,7104681.577051384,25.7
0.0608912622,77260.3077093527,37374948.96261912,23.2
0.0506471459,34069.3398982657,36167692.16206745,23.6
0.5553349116,94465.8381756607,37862816.9977108,18.4
0.4836764882,59596.9125665872,69598854.93498729,18.7
0.0555334912,36274.3384518245,10280691.959193615,23.4
0.0732073989,14567.1055501035,34832074.70433672,22.8
0.0840533402,92955.1956636431,74221888.62280479,22.5
0.3520099801,61016.8689605444,21025555.650870904,19.39
0.0606114923,57233.1073786571,73333005.06672053,23.21
0.0233644185,39149.1141863684,24250581.20664673,25.28
0.0163890951,36497.8142163882,29397989.43241008,26.05
0.0060611492,20503.4015704215,45606939.575652085,28.21
0.3635423218,9736.1225919358,49625376.5535807,19.32
0.0315177333,14188.9769420812,48481755.18633688,24.63
0.046190746,35556.1353571698,41226142.31363104,23.8
0.0048367649,30704.8514271596,1411079.201053553,28.7
0.022108281,63399.3660819072,1732512.769147562,25.4
0.1272198785,56560.3561651403,73565042.76244822,21.6
0.0058150704,22485.119444136,11667134.425589204,28.3
0.0175612318,9285.7265709675,12303579.848810663,25.9
0.0160160338,17325.6299014934,2977766.052378829,26.1
0.0421264611,51335.2838227496,17704673.419838775,24.0
0.1925550782,25559.5180504897,15382835.235447036,20.7
0.1332155667,73631.2461668813,55889458.31931564,21.5
0.2111324448,74368.3444538864,37912069.58316407,20.5
0.0350392641,52465.7027830446,62282964.3082864,24.4
0.2210828104,53698.3333107404,52422728.39752781,20.4
0.2670268771,46945.3424811196,72052745.38823628,19.99
0.4290965044,110914.0801633382,8228417.06399377,18.96
0.046190746,17103.083557455,30634349.017551333,23.8
0.0160160338,37680.4761486235,37989528.38325246,26.1
0.1160259082,50448.6792158807,35654838.78440135,21.8
0.0732073989,44336.123835854,37939351.17824407,22.8
0.0105816886,14837.331163278,2597080.074090747,27.0
0.3455850738,75087.5101778869,66786640.168661,19.43
0.0483676488,44688.1422840138,48705838.329482846,23.7
0.0048367649,20565.2029849651,6588121.463362427,28.7
0.0278326768,43245.0352003738,7128385.583949689,24.9
0.1289896833,54674.2151975081,24560754.04939287,21.57
0.0088014652,41322.4844190228,55981681.38198794,27.4
0.046190746,49535.6271328073,69774169.62130687,23.8
0.0037718549,18973.4525134164,52881417.90662832,29.24
0.02658,39873.6245236799,17758512.31695137,25.0
0.0608912622,19769.9092934046,48196380.135315545,23.2
0.004411182,13483.3246186247,28527893.917698484,28.9
0.0121494041,55799.7723341089,33805899.288797386,26.7
0.3789264984,57333.4556642273,30516735.246956263,19.23
0.0055533491,28805.319376137,14332897.17064436,28.4
0.0036690614,28124.1377567706,60617951.83341813,29.3
0.0253837029,36573.4139273597,5001526.755808605,25.1
0.0699125232,63560.0910019212,55963510.44678881,22.9
0.0069912523,59248.7744229065,69187222.54291953,27.9
0.0060891262,39186.1002666442,39664376.200003445,28.2
0.0121494041,42750.4052567056,3986410.213211155,26.7
0.0279611466,62257.926362251,61047012.52693876,24.89
0.04411182,80111.3257172844,70537202.03944111,23.9
0.02658,23585.1995882807,10832829.438325975,25.0
0.0921626549,38250.8528131001,10663296.111290414,22.3
0.0319561887,29475.7967983752,12346582.713968534,24.6
0.2210828104,67888.6414071725,44862617.3182394,20.4
0.2016299194,32347.6895336704,49844462.88851208,20.6
0.0366906138,43659.7419689456,24463425.57045236,24.3
0.0608912622,23879.9718661271,28377315.957253177,23.2
0.0183888672,32902.9764826369,23659119.30942215,25.8
0.0339277435,85318.5631738619,6924165.268073394,24.47
0.0483676488,32175.6992072715,21933960.053494006,23.7
0.1394938229,9833.6070534691,51251839.69188101,21.4
0.0202560601,29723.5415963955,5451084.332211121,25.59
0.096506147,29257.5279710863,50945284.45474678,22.2
0.040230458,20753.2392820034,48362720.13125829,24.1
0.0608912622,10354.6351961526,40582791.6472076,23.2
1.2547435637,116063.138542185,57370401.46099448,16.63
0.0506471459,9589.2344313915,51537867.52816786,23.6
0.3195618867,60384.9686738854,20936624.459408384,19.6
0.1394938229,64655.8175109856,45282998.418141566,21.4
0.0201629919,27841.5190167681,67651110.69874209,25.6
0.0366906138,17757.6433738369,14579310.787845232,24.3
0.5553349116,54980.5088214954,31072248.01307072,18.4
0.0050647146,9728.2898246296,14844798.791701732,28.6
0.063760979,70345.1616645622,6495495.907620895,23.1
0.0586887658,42752.5445213795,52900990.663628064,23.28
0.1332155667,70020.3554385577,61318331.06289914,21.5
0.0683211199,51651.9880987694,46043713.58022928,22.95
0.0305179233,89957.515208675,4260541.967036467,24.7
0.0046190746,39927.3941673068,51566528.23609181,28.8
0.0608912622,43457.5378790802,19051266.97800992,23.2
0.8176265334,29801.4792408987,46008208.78471261,17.56
0.4748483974,37773.1693194012,49665122.77782717,18.74
0.0211132445,20285.554575709,39825195.63062896,25.5
0.0115492818,15883.7024258461,7514961.993328808,26.81
0.0081762653,27118.2530940457,1345073.015500886,27.56
0.0483676488,36494.7677767814,70656745.86191577,23.7
0.0483676488,62837.9351744692,15161212.468629807,23.7
0.0253837029,48502.0007618209,53911573.46325772,25.1
0.0400456158,18996.4355577584,23119528.08005415,24.11
0.0421264611,17354.9393929894,4061035.480043872,24.0
0.039314701,45581.228004181,4009076.429765696,24.15
0.1756123185,28455.4276844066,49301487.919882335,20.9
0.160160338,47506.6105427318,73318544.12877782,21.1
0.0069912523,46435.8482464082,21053952.34847388,27.9
0.0305179233,27408.0962830563,12429513.145910893,24.7
0.1669379118,65643.8259371105,59657422.08752456,21.01
0.1307841086,40428.3227473588,62155494.65602106,21.54
0.1838886721,45215.872430449,59299668.99895407,20.8
0.0110803882,46994.8132810134,55017614.34957885,26.9
0.0373727432,30083.5218212028,56247058.45902383,24.26
0.0497227313,37097.7320746642,45702948.34706282,23.64
0.0334622374,19445.0537702654,68294253.63356324,24.5
0.0305179233,16451.3696226743,23405116.308040224,24.7
0.0138214936,9911.2035072912,2862574.061862046,26.42
0.0483676488,65858.1717572028,36041822.129906446,23.7
0.1536579294,51475.1718945078,51478912.20438382,21.19
0.0116025908,76894.9945633246,56419562.39584334,26.8
0.3602093458,101492.9521330399,21869271.03230733,19.34
0.5064714588,35479.6456283948,22403486.49213646,18.6
0.2016299194,17877.3260851203,22811772.783766568,20.6
0.0160160338,16367.5132847704,38874295.3649892,26.1
0.0231502122,84171.7676620638,54996599.63366996,25.3
0.4411182,50852.3851896689,50857364.9637595,18.9
0.0242412481,26949.4131450201,17484008.31874614,25.2
0.0049722731,7435.4865804973,7077757.490961116,28.64
0.0294140602,20018.4164819573,5083715.182315764,24.78
0.0366906138,56323.0041830165,58226710.978473455,24.3
0.2435314063,39610.1212313692,14267157.703134116,20.19
0.046190746,37098.8620537216,28346442.45747533,23.8
0.3569069267,68298.1603031498,50989981.052029,19.36
0.1332155667,38515.6775000452,43122909.654493965,21.5
0.3536347843,25505.3495150322,60406325.04667643,19.38
0.6376097899,90385.4250347155,50756864.89029669,18.1
0.007772397,29639.2824837678,60443999.86401595,27.67
0.0116025908,23924.4742854275,4622314.944851077,26.8
0.0146067964,15467.8001897623,47227947.687462,26.3
0.0555334912,35663.7458859517,15674255.087601457,23.4
0.1925550782,69471.466401866,46501042.436862975,20.7
0.0560473362,50721.075921911,43294776.79806025,23.38
0.0127807099,26527.4259762906,61749269.14984913,26.59
0.4212646106,16450.6409849016,58601086.963484295,19.0
0.0023043847,31856.9423749948,19015429.716186963,30.31
0.1557955241,71404.49243003,31886689.54475321,21.16
0.3841978911,93893.922751576,42217458.403583385,19.2
0.0076657557,27873.1185672261,72388619.07024948,27.7
0.4451998164,83160.09350321,73324153.2709939,18.88
0.0058150704,83276.3512117519,59389231.40366928,28.3
0.0242412481,29131.2875048527,7115446.774414667,25.2
0.0253837029,15814.1015121066,60198517.44867648,25.1
0.0175612318,28201.7413026657,68379017.35748287,25.9
0.0127219879,51632.1516214782,50199994.0597586,26.6
0.3669061375,50827.5954779782,38601056.63564885,19.3
0.1838886721,51460.0215107814,32625220.5245431,20.8
0.160160338,112350.7898682462,40793805.84563144,21.1
0.0175612318,28378.7340482736,38132750.2424352,25.9
0.0051588747,37022.7555973872,136056.345606535,28.56
0.0702352248,19238.0052615488,45658684.4317,22.89
0.0550243571,75894.0080725166,41396417.69098115,23.42
0.0058150704,32839.2224799667,12508294.465969017,28.3
0.02658,23968.7321482596,18596160.50245357,25.0
0.2914439045,77309.2354681937,58699610.43021037,19.8
0.0608912622,30581.8571634431,11382834.040786594,23.2
0.1214940408,27867.0854642032,31669776.956631653,21.7
0.0152951935,30038.6336073255,1154963.010079583,26.2
0.0127219879,35773.1117496732,3863982.906752035,26.6
0.1198270801,129364.2914048467,62352778.46274056,21.73
0.0160160338,58533.711313662,65723880.95304807,26.1
0.0105816886,29909.2348315449,61846152.06649363,27.0
0.1160259082,83330.294499509,53812607.26163538,21.8
0.4619074603,63747.6471202176,45032939.62444133,18.8
0.0231502122,32352.0250060402,55857670.94110976,25.3
0.0530340723,23323.0149260621,71687634.62762561,23.5
0.0921626549,16781.9636746934,60639401.998807006,22.3
0.0167708462,48767.4072404118,47859435.13807591,26.0
0.0278326768,38598.380719069,20815894.834457383,24.9
0.0019255508,41864.1312687854,46457494.96065938,30.7
0.02658,26176.6116717999,73921926.59763528,25.0
0.0715409951,31792.46573617,35282286.50214432,22.85
0.0105816886,23606.7746165427,37798565.26605791,27.0
0.0608912622,72077.0898757054,40217222.06992962,23.2
0.0231502122,22095.5666888334,6078793.254784371,25.3
0.0766575574,13332.4757260907,44222121.41300938,22.7
0.0699125232,93402.4507116361,70362437.49928845,22.9
0.1272198785,85458.3255525359,33076840.95085441,21.6
0.0231502122,39940.1420023004,74461393.66077119,25.3
0.437074004,69800.1594934442,70503494.31825738,18.92
0.031228777,25337.3160075593,11818878.456551796,24.65
0.0105816886,61064.9360026092,36173085.82351158,27.0
0.1838886721,60160.9808791969,50951822.33045939,20.8
0.0483676488,27882.4396311888,45998210.80002563,23.7
0.0350392641,63113.4944917301,72471309.41257028,24.4
0.0143401923,47419.6167159386,46538695.756988585,26.34
0.0167708462,23959.7364066985,17292590.723222528,26.0
0.0880146521,35461.1642419979,65107623.46318736,22.4
0.022108281,20439.9567551306,17464239.409019247,25.4
0.0055533491,38864.8316350714,34291360.26424118,28.4
0.1272198785,29055.1801893339,17557206.676215433,21.6
0.096506147,33846.1281184953,27572021.647170976,22.2
0.1838886721,54819.6782843909,47053177.28307282,20.8
0.0063760979,12128.1273757189,15023181.116983743,28.1
0.1925550782,43011.3525779081,71588075.5098053,20.7
0.0050647146,13450.8722216099,767115.796714388,28.6
0.0578835257,57329.4335594368,70826104.95231213,23.31
0.1248978541,31190.9332746469,16373178.415651849,21.64
0.058150704,51275.8848363289,22474916.0941496,23.3
0.4451998164,58919.2884200786,15416386.267821712,18.88
0.0880146521,64695.2113692169,15285100.957324363,22.4
0.2707415909,37516.7320401557,48625914.29113494,19.96
1.0728894545,115260.8907144748,56729341.22771947,16.97
0.1053307015,48684.2351159394,4971000.532526181,22.01
0.1058168859,32271.3345504452,66442511.6761812,22.0
0.046190746,18874.2098896056,29157700.15752977,23.8
0.096506147,67553.4945443602,64755406.752428986,22.2
0.008405334,29815.1058570228,10499619.451106632,27.5
0.058150704,35289.335858572,14861576.492017971,23.3
0.0856160085,105309.2832152929,68663861.88957782,22.46
0.0211132445,32011.2409512556,1873750.257464103,25.5
0.2796114661,60122.084779368,59154233.00153662,19.89
0.0231502122,20175.1136322457,2257452.50280606,25.3
0.5451989071,64385.6084748198,14467660.048187517,18.44
0.0334622374,70060.4030889778,551072.132860939,24.5
0.4154846434,63763.0124608584,23488278.197807048,19.03
0.0053034072,26469.1395746182,57025967.83373924,28.5
0.02658,18270.3047408861,15446489.592885433,25.0
0.0253837029,96340.9722568704,67641462.6533926,25.1
0.0136318556,30625.5214912455,43241807.61808448,26.45
0.0667659413,50312.8057257533,29358362.003832165,23.0
0.1214940408,93981.6258933409,42593856.62268132,21.7
0.3635423218,74822.4320087603,65995017.47328002,19.32
0.3315545381,73091.505580826,49409224.17695512,19.52
0.0201629919,50125.6428683015,18439069.37986378,25.6
0.0384197891,27082.7388766632,8602409.106071258,24.2
0.0421264611,12790.5357971725,14422318.788804105,24.0
0.0125474356,12075.7550520223,12698843.212023454,26.63
0.0160160338,24733.3918307782,35311522.02492396,26.1
0.0840533402,145382.2714153699,24218304.68828531,22.5
0.0183888672,62302.6956024943,69611575.63082786,25.8
0.1108038821,48635.8659862708,58154657.05966945,21.9
0.2809020939,46525.6340756068,34508260.89949293,19.88
0.0231502122,58482.6648963617,43212174.06025213,25.3
0.1326034968,35695.1412799355,54699661.93887953,21.51
0.096506147,53112.7786822142,57044497.39991212,22.2
0.04411182,10268.9444053524,20765198.77915647,23.9
0.1243240006,110338.5017270239,70400311.52115166,21.65
0.4023045798,129407.4734099882,69169536.30481921,19.1
0.0608912622,60222.3203735129,16572570.5649924,23.2
0.0127219879,58197.0064780674,44323942.73486003,26.6
0.0278326768,28629.9490250319,9894730.920652743,24.9
0.1160259082,52966.5499813302,41303513.04545336,21.8
0.0139493823,49600.3341697254,44434313.76945841,26.4
0.0472666667,55706.5046197645,45515152.78524807,23.75
0.0530340723,30787.1845955603,6387555.853369806,23.5
0.0161642283,59618.0809676506,34469196.39274004,26.08
0.1394938229,64334.4224531605,23193818.36733636,21.4
0.0419329075,52156.1348192524,52690515.34665154,24.01
0.022108281,50480.3673241326,21695463.87364332,25.4
0.046190746,25143.0778858975,23610422.9587691,23.8
0.0288771931,18441.7035324297,44599041.6389149,24.82
0.0555334912,33072.6582139042,49171744.43983214,23.4
0.0384197891,62514.9310177973,3110866.448792673,24.2
0.2315021222,84016.7593180326,46880421.96199257,20.3
0.0191670368,49090.2791561366,66572755.11231293,25.71
0.0555334912,27541.605049118,12064925.663689677,23.4
0.0080270317,66200.4713906089,73795618.87202622,27.6
0.0224158379,61117.308849159,42967385.92862732,25.37
0.0339277435,60874.6861951146,59149933.3493158,24.47
0.0291443905,56051.3144470946,7942667.060871074,24.8
0.077366861,44191.4453719276,63623141.10518048,22.68
0.046190746,54087.8840615192,16851447.66797262,23.8
0.1572370824,32899.369495031,44131244.52173008,21.14
0.0305179233,42047.0867402806,18381243.953832064,24.7
0.004411182,37468.1787246889,45258065.838735886,28.9
0.1838886721,98837.6563989421,40208428.25833741,20.8
0.0139493823,29566.2572238026,1195142.006004183,26.4
0.1260535197,82853.9600724198,69928259.46654937,21.62
0.0127219879,16672.1511846965,26756335.26673285,26.6
0.2561857545,33011.8498193482,21264213.29170269,20.08
0.0231502122,47059.1293358405,37861603.68418615,25.3
0.1677084622,28772.1890394035,57808437.66768023,21.0
0.063760979,12419.1751814791,73322528.74284422,23.1
0.0069912523,14172.1666256626,1181416.521109979,27.9
0.1899131235,117369.2907602644,35123401.91053025,20.73
0.2658,113976.4830582316,41381903.75051312,20.0
0.1058168859,43788.654745321,50141764.704518095,22.0
0.0840533402,32362.0084812602,29141330.85939864,22.5
0.0192555078,22849.1185737356,59780194.53122954,25.7
0.1394938229,36675.7704759478,27061400.03036869,21.4
0.0384197891,37232.0016475856,38852673.77540108,24.2
0.6317641482,130740.2847594194,65763268.18728589,18.12
0.0437074004,51800.12374522,56795253.80988488,23.92
0.1529519353,49199.2508312683,45111663.34931951,21.2
0.0042516252,23696.251078278,32441979.20060433,28.98
0.02658,86371.7442474046,62515813.8566948,25.0
0.0255008688,101835.4274650213,57985950.82933754,25.09
0.0239086457,76422.4046493833,61701437.953597866,25.23
0.0133215567,76506.1723730455,73421418.60467349,26.5
0.0192555078,18313.528787448,5079617.247862854,25.7
0.1160259082,32794.4571830289,8535754.66806852,21.8
0.02658,61231.7593407794,18900403.59978844,25.0
0.0589596608,46103.9724229943,10616121.350492708,23.27
0.0305179233,38859.1952863766,15799872.658397049,24.7
0.0088014652,76381.3873191078,56292209.98342872,27.4
0.1160259082,54877.4841753032,19499383.98676348,21.8
0.0334622374,74810.0008069657,72370081.75490694,24.5
0.096506147,48688.8284513635,66307939.26664613,22.2
0.0121494041,35913.6098596803,45571170.76981445,26.7
0.0063760979,26647.4060953191,65221756.57006072,28.1
0.0046190746,30131.4158250734,28944368.403863683,28.8
